practice_code_standardised,profile,kmeans_silhouette,gmm_maximum_posterior,gmm_retention_share,kmeans_gmm_disagreement
A81001,1,0.0528458848294373,0.6694135165999201,1.0,False
A81002,2,0.2694420229144385,0.997990383104402,1.0,False
A81004,3,0.016250332148327,0.7571291271361514,1.0,True
A81005,3,0.091086332119578,0.6394865191838971,0.9333333333333332,False
A81006,2,0.0896854613763696,0.9661420297149788,1.0,False
A81007,2,0.0823381734786279,0.9032921525399924,1.0,False
A81009,3,0.2321007936470451,0.9779398996383798,1.0,False
A81011,2,0.2203232512899995,0.9967570417670076,1.0,False
A81012,2,0.0979804846151165,0.7097021557208602,0.9666666666666668,False
A81013,2,0.303188281596908,0.9994594355540218,1.0,False
A81014,2,0.1914439238706873,0.9969213076368024,1.0,False
A81016,2,0.1077194859449525,0.991876103229622,1.0,False
A81017,2,0.0704363372340627,0.5326435424820523,0.8333333333333334,False
A81018,3,0.0898572143197917,0.6683841767321299,1.0,False
A81019,2,0.2120007076515287,0.9983946963283884,1.0,False
A81020,2,0.0822817293533171,0.962630108743741,1.0,False
A81021,2,0.2229316149532171,0.9941146454882466,1.0,False
A81022,3,0.098245916394393,0.8363355403442805,1.0,False
A81023,1,0.005329496386577,0.8396550002942705,1.0,True
A81025,2,0.0946824688119442,0.9594458160333376,1.0,False
A81026,2,0.0771453872215113,0.9109543449404064,1.0,False
A81027,3,0.0631049187583538,0.590725277402245,0.9,False
A81029,1,0.0451522139390729,0.9761511069648106,1.0,False
A81030,2,0.1572169393191744,0.750362552910048,1.0,False
A81031,2,0.2052478288244847,0.996777681862563,1.0,False
A81032,2,0.1411002457858876,0.993828387807941,1.0,False
A81034,3,0.147415419069933,0.9298498826896566,1.0,False
A81035,2,0.1155861051612558,0.9875595826803836,1.0,False
A81036,3,0.0827300455400757,0.657257967966582,0.9333333333333332,False
A81037,2,0.0906942348984767,0.98481197280376,1.0,False
A81038,3,0.2778690214050601,0.9986637660124472,1.0,False
A81039,2,0.1052016844433715,0.935851648786144,1.0,False
A81040,2,0.1141475371699938,0.976302916486092,1.0,False
A81041,2,0.2688837075495056,0.99805647233672,1.0,False
A81042,1,-0.0761403857990731,0.7554424853987346,1.0,True
A81044,3,0.2893343407109675,0.9999048575763092,1.0,False
A81045,2,0.1211084037356568,0.9798122660388658,1.0,False
A81046,2,0.0932193088992634,0.979744396535382,1.0,False
A81048,3,0.0241517768489641,0.7092552554113842,1.0,True
A81049,2,0.0693011964982718,0.972470753695572,1.0,False
A81051,2,0.1302674767225993,0.9934177233651414,1.0,False
A81052,2,0.1077245706262811,0.988601502646349,1.0,False
A81053,2,0.190469321223397,0.997981939803088,1.0,False
A81054,2,0.0860835252444443,0.9782313374544276,1.0,False
A81056,2,0.085727972870815,0.685360335404793,1.0,False
A81057,2,0.1014433161729048,0.9300156063621282,1.0,False
A81058,3,0.2751343311013087,0.9999196678860104,1.0,False
A81060,3,0.2611296575306929,0.999726249891216,1.0,False
A81063,2,0.122925528778211,0.9866685942067244,1.0,False
A81064,3,0.218008533273149,0.9970437324177348,1.0,False
A81066,2,0.3198527525032378,0.9993927401023818,1.0,False
A81067,2,0.1293237060550189,0.9702481897527196,1.0,False
